file name, index, score
lima, 500, 0.047883
lima, 660, 0.047818
lima, 66, 0.047783
lima, 896, 0.047712
lima, 959, 0.047706
lima, 570, 0.047667
lima, 907, 0.04759
lima, 177, 0.047586
lima, 347, 0.047513
lima, 700, 0.047512
lima, 555, 0.047429
lima, 478, 0.04742
lima, 517, 0.047365
lima, 55, 0.047284
lima, 666, 0.047208
lima, 604, 0.047165
lima, 164, 0.046975
lima, 941, 0.046953
lima, 968, 0.046943
lima, 348, 0.046934
lima, 708, 0.046818
lima, 422, 0.046799
lima, 258, 0.046677
lima, 466, 0.04665
lima, 917, 0.046592
lima, 889, 0.046577
lima, 187, 0.046463
lima, 1023, 0.046352
lima, 463, 0.046349
lima, 761, 0.046263
lima, 580, 0.046229
lima, 818, 0.046122
lima, 274, 0.04604
lima, 9, 0.045858
lima, 507, 0.045792
lima, 614, 0.045773
lima, 235, 0.045658
lima, 433, 0.045539
lima, 251, 0.045481
lima, 121, 0.045415
lima, 264, 0.045401
lima, 377, 0.045323
lima, 357, 0.045304
lima, 96, 0.045257
lima, 793, 0.045239
lima, 581, 0.045055
lima, 59, 0.045024
lima, 831, 0.04501
lima, 46, 0.045
lima, 510, 0.04485
lima, 649, 0.044845
lima, 688, 0.044625
lima, 445, 0.044616
lima, 519, 0.044563
lima, 947, 0.04453
lima, 80, 0.044469
lima, 673, 0.044424
lima, 695, 0.044287
lima, 199, 0.044233
lima, 851, 0.044126
lima, 877, 0.043955
lima, 28, 0.043916
lima, 207, 0.043894
lima, 934, 0.043845
lima, 43, 0.043808
lima, 170, 0.043783
lima, 665, 0.043727
lima, 543, 0.043698
lima, 83, 0.043684
lima, 679, 0.043672
lima, 943, 0.043652
lima, 892, 0.043593
lima, 467, 0.043519
lima, 485, 0.043518
lima, 725, 0.04335
lima, 787, 0.043324
lima, 181, 0.043289
lima, 115, 0.043256
lima, 133, 0.043221
lima, 540, 0.04317
lima, 613, 0.043021
lima, 339, 0.043016
lima, 120, 0.042931
lima, 599, 0.042929
lima, 545, 0.042928
lima, 249, 0.042819
lima, 140, 0.042817
lima, 273, 0.042768
lima, 423, 0.042753
lima, 832, 0.042681
lima, 488, 0.042658
lima, 577, 0.042642
lima, 553, 0.042599
lima, 940, 0.042591
lima, 925, 0.042565
lima, 240, 0.042513
lima, 976, 0.042481
lima, 631, 0.042474
lima, 144, 0.042429
lima, 459, 0.042277
lima, 858, 0.042227
lima, 767, 0.042226
lima, 449, 0.042192
lima, 918, 0.042098
lima, 311, 0.042095
lima, 942, 0.042081
lima, 912, 0.042047
lima, 847, 0.042039
lima, 823, 0.042005
lima, 1028, 0.041893
lima, 734, 0.041872
lima, 975, 0.041871
lima, 277, 0.041839
lima, 904, 0.04172
lima, 283, 0.041665
lima, 748, 0.041665
lima, 626, 0.041594
lima, 481, 0.041584
lima, 229, 0.041558
lima, 898, 0.041475
lima, 424, 0.041467
lima, 394, 0.041465
lima, 145, 0.041458
lima, 802, 0.04143
lima, 266, 0.041321
lima, 265, 0.041317
lima, 409, 0.041284
lima, 37, 0.041207
lima, 870, 0.041085
lima, 338, 0.041073
lima, 724, 0.041056
lima, 106, 0.040936
lima, 58, 0.040893
lima, 861, 0.040851
lima, 465, 0.040834
lima, 763, 0.040698
lima, 648, 0.040622
lima, 743, 0.040551
lima, 916, 0.040542
lima, 190, 0.040507
lima, 726, 0.040506
lima, 923, 0.040413
lima, 995, 0.040401
lima, 1029, 0.040301
lima, 697, 0.040217
lima, 176, 0.040171
lima, 554, 0.04017
lima, 448, 0.04016
lima, 407, 0.04013
lima, 653, 0.040126
lima, 843, 0.040099
lima, 623, 0.039836
lima, 511, 0.039829
lima, 460, 0.039792
lima, 841, 0.039785
lima, 632, 0.039757
lima, 950, 0.039708
lima, 198, 0.039629
lima, 369, 0.039586
lima, 690, 0.039419
lima, 582, 0.039353
lima, 1025, 0.03934
lima, 752, 0.039323
lima, 611, 0.039317
lima, 990, 0.039167
lima, 505, 0.039102
lima, 5, 0.039081
lima, 82, 0.039072
lima, 885, 0.03905
lima, 961, 0.03902
lima, 794, 0.038997
lima, 728, 0.038963
lima, 25, 0.038835
lima, 432, 0.038819
lima, 290, 0.038767
lima, 293, 0.038737
lima, 856, 0.03871
lima, 537, 0.038697
lima, 946, 0.038671
lima, 47, 0.038667
lima, 34, 0.038651
lima, 175, 0.038637
lima, 232, 0.038543
lima, 323, 0.038476
lima, 1024, 0.038326
lima, 410, 0.0383
lima, 587, 0.038283
lima, 713, 0.03824
lima, 462, 0.038185
lima, 69, 0.038183
lima, 116, 0.037972
lima, 866, 0.037948
lima, 739, 0.037922
lima, 1018, 0.037922
lima, 396, 0.037883
lima, 930, 0.037862
lima, 494, 0.037803
lima, 635, 0.037686
lima, 214, 0.037634
lima, 828, 0.03761
lima, 768, 0.037497
lima, 468, 0.03748
lima, 244, 0.037473
lima, 760, 0.03738
lima, 967, 0.037379
lima, 716, 0.037378
lima, 282, 0.037308
lima, 501, 0.037301
lima, 1007, 0.037301
lima, 640, 0.037296
lima, 21, 0.037293
lima, 72, 0.037287
lima, 241, 0.03728
lima, 894, 0.037274
lima, 110, 0.037243
lima, 149, 0.037125
lima, 585, 0.037042
lima, 417, 0.037018
lima, 647, 0.036925
lima, 151, 0.036914
lima, 1, 0.036847
lima, 795, 0.036815
lima, 383, 0.036748
